matchup_id,player_A,player_B,self_play,game_in_matchup,roles_swapped,winner,winner_p,rounds,final_worlds
1,GuessingFocused,GuessingFocused,True,1,False,tie,tie,2,1
1,GuessingFocused,GuessingFocused,True,2,True,tie,tie,2,1
1,GuessingFocused,GuessingFocused,True,3,False,tie,tie,2,1
1,GuessingFocused,GuessingFocused,True,4,True,tie,tie,2,1
1,GuessingFocused,GuessingFocused,True,5,False,tie,tie,2,1
1,GuessingFocused,GuessingFocused,True,6,True,tie,tie,2,1
1,GuessingFocused,GuessingFocused,True,7,False,p1,p1,1,2
1,GuessingFocused,GuessingFocused,True,8,True,tie,tie,2,1
1,GuessingFocused,GuessingFocused,True,9,False,p2,p2,1,2
1,GuessingFocused,GuessingFocused,True,10,True,p1,p1,1,2
2,GuessingFocused,HidingFocused,False,1,False,tie,tie,2,1
2,GuessingFocused,HidingFocused,False,2,True,tie,tie,2,1
2,GuessingFocused,HidingFocused,False,3,False,tie,tie,2,1
2,GuessingFocused,HidingFocused,False,4,True,tie,tie,2,1
2,GuessingFocused,HidingFocused,False,5,False,B,p2,1,6
2,GuessingFocused,HidingFocused,False,6,True,tie,tie,2,1
2,GuessingFocused,HidingFocused,False,7,False,tie,tie,2,1
2,GuessingFocused,HidingFocused,False,8,True,tie,tie,2,1
2,GuessingFocused,HidingFocused,False,9,False,B,p2,1,3
2,GuessingFocused,HidingFocused,False,10,True,B,p1,1,3
3,GuessingFocused,Balanced(lam=0.5),False,1,False,tie,tie,2,1
3,GuessingFocused,Balanced(lam=0.5),False,2,True,B,p1,1,4
3,GuessingFocused,Balanced(lam=0.5),False,3,False,tie,tie,2,1
3,GuessingFocused,Balanced(lam=0.5),False,4,True,A,p2,1,3
3,GuessingFocused,Balanced(lam=0.5),False,5,False,tie,tie,2,1
3,GuessingFocused,Balanced(lam=0.5),False,6,True,B,p1,1,3
3,GuessingFocused,Balanced(lam=0.5),False,7,False,tie,tie,2,1
3,GuessingFocused,Balanced(lam=0.5),False,8,True,tie,tie,2,1
3,GuessingFocused,Balanced(lam=0.5),False,9,False,tie,tie,2,1
3,GuessingFocused,Balanced(lam=0.5),False,10,True,tie,tie,2,1
4,GuessingFocused,Balanced(lam=1.0),False,1,False,tie,tie,2,1
4,GuessingFocused,Balanced(lam=1.0),False,2,True,A,p2,1,3
4,GuessingFocused,Balanced(lam=1.0),False,3,False,B,p2,1,6
4,GuessingFocused,Balanced(lam=1.0),False,4,True,B,p1,1,4
4,GuessingFocused,Balanced(lam=1.0),False,5,False,B,p2,1,2
4,GuessingFocused,Balanced(lam=1.0),False,6,True,B,p1,1,4
4,GuessingFocused,Balanced(lam=1.0),False,7,False,tie,tie,2,1
4,GuessingFocused,Balanced(lam=1.0),False,8,True,B,p1,1,3
